Hospital,region,source,date,year,month,day_of_week,season,is_bank_holiday,bank_holiday_name,is_weekend,is_flu_season,is_flu_peak,hospital_beds,ed_trolleys,ward_trolleys,total_trolleys,trolley_load,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,occupancy_rate_pct,traffic_light_status,wait_tier,is_synthetic
Our Lady of Lourdes Hospital,Louth,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,426,2.9,1.5,4.4,4.4,2.9,1.5,4.4,20,10,31,984,509,1095,1,13,1,0,1,Green,Low breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,1.6,0.6,2.2,2.2,1.6,0.6,2.2,11,4,16,543,204,539,0,1,0,0,1.2,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,163,5.9,3,8.9,8.9,5.9,3,8.9,41,21,65,2003,1018,2200,6,13,1,0,5.5,Amber,Low breach,TRUE
Sligo University Hospital,Sligo,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,281,9.9,3.5,13.4,13.4,9.9,3.5,13.4,69,24,90,3361,1188,4198,2,32,2,0,4.8,Amber,Low breach,TRUE
St Jamess Hospital,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,680,11.1,5.3,16.4,16.4,11.1,5.3,16.4,78,37,113,3768,1799,6347,0,0,0,0,2.4,Green,No breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,188,10.2,4.9,15.1,15.1,10.2,4.9,15.1,71,34,107,3462,1663,5376,23,12,3,1,8,Red,Low breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,523,38.2,18.7,56.9,56.9,38.2,18.7,56.9,267,131,412,12967,6348,4498,35,34,9,2,10.9,Red,Moderate breach,TRUE
Tallaght University Hospital,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,397,4.8,1.8,6.6,6.6,4.8,1.8,6.6,34,13,45,1629,611,98,1,14,0,0,1.7,Green,No breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,100,0.8,0.4,1.2,1.2,0.8,0.4,1.2,6,3,8,272,136,451,1,0,1,0,1.2,Green,Low breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,205,6.3,3.2,9.5,9.5,6.3,3.2,9.5,44,22,64,2139,1086,10583,5,11,1,0,4.6,Amber,Low breach,TRUE
University Hospital Kerry,Kerry,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,272,7.8,2.9,10.7,10.7,7.8,2.9,10.7,55,20,72,2648,984,567,0,18,1,0,3.9,Green,Low breach,TRUE
University Hospital Limerick,Limerick,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,519,47.6,18.8,66.4,66.4,47.6,18.8,66.4,333,132,479,16158,6382,704,51,25,18,4,12.8,Red,High breach,TRUE
Wexford General Hospital,Wexford,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,227,2.3,1,3.3,3.3,2.3,1,3.3,16,7,22,781,339,2323,0,8,0,0,1.5,Green,No breach,TRUE
Bantry General Hospital,Cork,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,46,4.2,1.7,5.9,5.9,4.2,1.7,5.9,29,12,40,1426,577,561,5,11,2,0,12.8,Red,Low breach,TRUE
Beaumont Hospital,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,718,10.4,4.5,14.9,14.9,10.4,4.5,14.9,73,32,101,3530,1528,1790,0,31,0,0,2.1,Green,No breach,TRUE
Cavan General Hospital,Cavan,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,231,7.2,3.5,10.7,10.7,7.2,3.5,10.7,50,24,77,2444,1188,5356,6,4,1,0,4.6,Amber,Low breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,303,4,1.5,5.5,5.5,4,1.5,5.5,28,10,40,1358,509,1860,0,5,1,0,1.8,Green,Low breach,TRUE
Cork University Hospital,Cork,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,664,32.8,11.2,44,44,32.8,11.2,44,230,78,296,11134,3802,689,12,44,2,1,6.6,Amber,Low breach,TRUE
Ennis Hospital,Clare,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,50,4.8,1.9,6.7,6.7,4.8,1.9,6.7,34,13,47,1629,645,6369,3,7,2,0,13.4,Red,Low breach,TRUE
Galway University Hospitals,Galway,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,663,24.5,8.7,33.2,33.2,24.5,8.7,33.2,172,61,232,8317,2953,2670,9,39,4,1,5,Amber,Low breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,350,4.8,2.2,7,7,4.8,2.2,7,34,15,47,1629,747,762,0,47,0,0,2,Green,No breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,678,20.9,7.6,28.5,28.5,20.9,7.6,28.5,146,53,193,7095,2580,2711,27,23,2,0,4.2,Amber,Low breach,TRUE
Mayo University Hospital,Mayo,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,255,21.7,8.7,30.4,30.4,21.7,8.7,30.4,152,61,202,7366,2953,5156,28,12,10,2,11.9,Red,Moderate breach,TRUE
Mercy University Hospital,Cork,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,198,2.1,1,3.1,3.1,2.1,1,3.1,15,7,21,713,339,2089,0,18,1,0,1.6,Green,Low breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,7.7,3.1,10.8,10.8,7.7,3.1,10.8,54,22,79,2614,1052,1654,6,2,1,0,5.9,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,133,5.4,2.9,8.3,8.3,5.4,2.9,8.3,38,20,57,1833,984,2306,1,3,1,0,6.2,Amber,Low breach,TRUE
Naas General Hospital,Kildare,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,178,11.6,5.5,17.1,17.1,11.6,5.5,17.1,81,38,116,3938,1867,1670,15,11,4,1,9.6,Red,Low breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,426,3.5,1.4,4.9,4.9,3.5,1.4,4.9,24,10,34,1188,475,1075,0,14,0,0,1.2,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,1.7,0.8,2.5,2.5,1.7,0.8,2.5,12,6,17,577,272,540,0,1,0,0,1.4,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,163,6.2,2.1,8.3,8.3,6.2,2.1,8.3,43,15,56,2105,713,2288,4,13,1,0,5.1,Amber,Low breach,TRUE
Sligo University Hospital,Sligo,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,281,9.1,4.5,13.6,13.6,9.1,4.5,13.6,64,32,97,3089,1528,4047,9,32,2,0,4.8,Amber,Low breach,TRUE
St Jamess Hospital,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,680,12.5,4.4,16.9,16.9,12.5,4.4,16.9,88,31,122,4243,1494,6303,0,0,1,0,2.5,Green,Low breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,188,9.6,3.3,12.9,12.9,9.6,3.3,12.9,67,23,94,3259,1120,5493,6,2,1,0,6.9,Amber,Low breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,523,40.7,13.8,54.5,54.5,40.7,13.8,54.5,285,97,382,13816,4684,4681,57,33,12,3,10.4,Red,Moderate breach,TRUE
Tallaght University Hospital,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,397,4,2,6,6,4,2,6,28,14,43,1358,679,101,0,13,0,0,1.5,Green,No breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,100,0.7,0.3,1,1,0.7,0.3,1,5,2,7,238,102,463,0,0,0,0,1,Green,No breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,205,7.9,3.1,11,11,7.9,3.1,11,55,22,79,2682,1052,11102,4,13,1,0,5.4,Amber,Low breach,TRUE
University Hospital Kerry,Kerry,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,272,6.8,3.2,10,10,6.8,3.2,10,48,22,67,2308,1086,586,0,17,0,0,3.7,Green,No breach,TRUE
University Hospital Limerick,Limerick,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,519,52.8,18.9,71.7,71.7,52.8,18.9,71.7,370,132,478,17923,6416,717,53,27,12,3,13.8,Red,Moderate breach,TRUE
Wexford General Hospital,Wexford,synthetic,01/02/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,227,2.7,1.2,3.9,3.9,2.7,1.2,3.9,19,8,28,917,407,2319,1,10,1,0,1.7,Green,Low breach,TRUE
Bantry General Hospital,Cork,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,46,8.1,3.8,11.9,11.9,8.1,3.8,11.9,57,27,80,2750,1290,554,3,11,3,1,25.9,Red,Low breach,TRUE
Beaumont Hospital,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,718,17.1,8.2,25.3,25.3,17.1,8.2,25.3,120,57,176,5805,2783,1862,0,26,0,0,3.5,Green,No breach,TRUE
Cavan General Hospital,Cavan,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,231,13.2,6.7,19.9,19.9,13.2,6.7,19.9,92,47,141,4481,2274,5149,13,4,7,2,8.6,Red,Moderate breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,303,8.5,3.7,12.2,12.2,8.5,3.7,12.2,60,26,82,2885,1256,1816,4,5,1,0,4,Amber,Low breach,TRUE
Cork University Hospital,Cork,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,664,68.9,26.3,95.2,95.2,68.9,26.3,95.2,482,184,693,23388,8928,683,45,46,19,5,14.3,Red,High breach,TRUE
Ennis Hospital,Clare,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,50,8.2,4,12.2,12.2,8.2,4,12.2,57,28,89,2783,1358,6082,4,6,2,1,24.4,Red,Low breach,TRUE
Galway University Hospitals,Galway,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,663,45,21.3,66.3,66.3,45,21.3,66.3,315,149,474,15275,7230,2630,48,37,21,5,10,Red,High breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,350,10.1,4.7,14.8,14.8,10.1,4.7,14.8,71,33,103,3428,1595,773,4,48,1,0,4.2,Amber,Low breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,678,36,16,52,52,36,16,52,252,112,351,12220,5431,2764,13,20,5,1,7.7,Amber,Low breach,TRUE
Mayo University Hospital,Mayo,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,255,42,17,59,59,42,17,59,294,119,433,14257,5771,5282,31,11,13,4,23.1,Red,Moderate breach,TRUE
Mercy University Hospital,Cork,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,198,5.2,2.1,7.3,7.3,5.2,2.1,7.3,36,15,52,1765,713,2098,0,21,1,0,3.7,Green,Low breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,184,15.5,6.3,21.8,21.8,15.5,6.3,21.8,108,44,156,5261,2139,1712,15,2,3,1,11.8,Red,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,133,14.2,7.7,21.9,21.9,14.2,7.7,21.9,99,54,151,4820,2614,2379,12,4,7,2,16.5,Red,Moderate breach,TRUE
Naas General Hospital,Kildare,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,178,24.7,11.2,35.9,35.9,24.7,11.2,35.9,173,78,247,8384,3802,1650,18,11,11,2,20.2,Red,Moderate breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,426,6.8,3.2,10,10,6.8,3.2,10,48,22,71,2308,1086,1122,1,14,0,0,2.3,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,184,3.4,1.5,4.9,4.9,3.4,1.5,4.9,24,10,36,1154,509,532,0,2,0,0,2.7,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,163,13.8,5.3,19.1,19.1,13.8,5.3,19.1,97,37,135,4684,1799,2254,13,14,5,1,11.7,Red,Low breach,TRUE
Sligo University Hospital,Sligo,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,281,24.2,11.4,35.6,35.6,24.2,11.4,35.6,169,80,237,8215,3870,4171,30,40,7,1,12.7,Red,Moderate breach,TRUE
St Jamess Hospital,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,680,26.6,9.6,36.2,36.2,26.6,9.6,36.2,186,67,250,9029,3259,6407,25,3,4,1,5.3,Amber,Low breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,188,21.9,10.1,32,32,21.9,10.1,32,153,71,214,7434,3428,5489,24,14,7,2,17,Red,Moderate breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,523,92.7,43.2,135.9,135.9,92.7,43.2,135.9,649,302,974,31467,14664,4523,50,40,46,10,26,Red,High breach,TRUE
Tallaght University Hospital,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,397,9.6,3.4,13,13,9.6,3.4,13,67,24,95,3259,1154,99,1,13,0,0,3.3,Green,No breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,100,1.8,0.8,2.6,2.6,1.8,0.8,2.6,13,6,19,611,272,446,0,3,0,0,2.6,Green,No breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,205,16,7.7,23.7,23.7,16,7.7,23.7,112,54,160,5431,2614,10988,17,13,5,1,11.6,Red,Low breach,TRUE
University Hospital Kerry,Kerry,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,272,18.7,6.6,25.3,25.3,18.7,6.6,25.3,131,46,170,6348,2240,595,14,21,8,2,9.3,Red,Moderate breach,TRUE
University Hospital Limerick,Limerick,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,519,104.6,41.6,146.2,146.2,104.6,41.6,146.2,732,291,1062,35506,14121,711,32,26,29,9,28.2,Red,High breach,TRUE
Wexford General Hospital,Wexford,synthetic,01/03/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,227,4.9,1.9,6.8,6.8,4.9,1.9,6.8,34,13,46,1663,645,2306,0,8,0,0,3,Green,No breach,TRUE
Bantry General Hospital,Cork,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,46,4.8,2.2,7,7,4.8,2.2,7,34,15,49,1629,747,540,5,11,2,0,15.2,Red,Low breach,TRUE
Beaumont Hospital,Dublin,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,718,11.1,5.8,16.9,16.9,11.1,5.8,16.9,78,41,112,3768,1969,1850,1,29,0,0,2.4,Green,No breach,TRUE
Cavan General Hospital,Cavan,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,231,7.5,3.4,10.9,10.9,7.5,3.4,10.9,52,24,79,2546,1154,5142,5,4,1,0,4.7,Amber,Low breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,303,5.4,1.8,7.2,7.2,5.4,1.8,7.2,38,13,51,1833,611,1891,0,5,0,0,2.4,Green,No breach,TRUE
Cork University Hospital,Cork,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,664,39,14,53,53,39,14,53,273,98,360,13239,4752,707,39,44,13,3,8,Red,Moderate breach,TRUE
Ennis Hospital,Clare,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,50,4.7,1.8,6.5,6.5,4.7,1.8,6.5,33,13,46,1595,611,6199,5,6,1,0,13,Red,Low breach,TRUE
Galway University Hospitals,Galway,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,663,28.1,12.6,40.7,40.7,28.1,12.6,40.7,197,88,298,9539,4277,2747,21,39,2,1,6.1,Amber,Low breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,350,7.1,2.5,9.6,9.6,7.1,2.5,9.6,50,18,68,2410,849,766,0,53,0,0,2.7,Green,No breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,678,22.2,9.8,32,32,22.2,9.8,32,155,69,233,7536,3327,2799,15,22,2,0,4.7,Amber,Low breach,TRUE
Mayo University Hospital,Mayo,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,255,23.3,11,34.3,34.3,23.3,11,34.3,163,77,230,7909,3734,5268,22,11,9,3,13.5,Red,Moderate breach,TRUE
Mercy University Hospital,Cork,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,198,2.7,1.2,3.9,3.9,2.7,1.2,3.9,19,8,28,917,407,2017,0,19,0,0,2,Green,No breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,184,9.6,5,14.6,14.6,9.6,5,14.6,67,35,103,3259,1697,1659,7,3,1,0,7.9,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,133,7.8,3,10.8,10.8,7.8,3,10.8,55,21,79,2648,1018,2317,7,4,2,0,8.1,Red,Low breach,TRUE
Naas General Hospital,Kildare,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,178,17.6,7.4,25,25,17.6,7.4,25,123,52,179,5974,2512,1720,16,14,6,2,14,Red,Moderate breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,01/04/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,426,4,1.4,5.4,5.4,4,1.4,5.4,28,10,37,1358,475,1139,0,13,0,0,1.3,Green,No breach,TRUE
