Hospital,source,date,year,month,day_of_week,season,is_bank_holiday,bank_holiday_name,is_weekend,is_flu_season,is_flu_peak,hospital_beds,ed_trolleys,ward_trolleys,total_trolleys,trolley_load,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,occupancy_rate_pct,traffic_light_status,wait_tier,is_synthetic
Portiuncula University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,163,6,2.6,8.6,8.6,6,2.6,8.6,42,18,59,2037,883,2190,6,13,1,0,5.3,Amber,Low breach,TRUE
Sligo University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,281,11,4,15,15,11,4,15,77,28,107,3734,1358,4112,11,36,1,0,5.3,Amber,Low breach,TRUE
St Jamess Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,680,10.2,5.2,15.4,15.4,10.2,5.2,15.4,71,36,105,3462,1765,6404,1,0,1,0,2.3,Green,Low breach,TRUE
St Lukes General Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,188,9.7,4.8,14.5,14.5,9.7,4.8,14.5,68,34,98,3293,1629,5663,3,3,1,0,7.7,Amber,Low breach,TRUE
St. Vincent's University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,523,47.8,16.3,64.1,64.1,47.8,16.3,64.1,335,114,443,16226,5533,4497,40,39,24,5,12.3,Red,High breach,TRUE
Tallaght University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,397,4,2,6,6,4,2,6,28,14,42,1358,679,98,0,13,0,0,1.5,Green,No breach,TRUE
Temple Street Childrens University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,100,1,0.3,1.3,1.3,1,0.3,1.3,7,2,9,339,102,456,0,0,1,0,1.3,Green,Low breach,TRUE
Tipperary University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,205,7.7,3.5,11.2,11.2,7.7,3.5,11.2,54,24,76,2614,1188,10675,6,13,2,0,5.5,Amber,Low breach,TRUE
University Hospital Kerry,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,272,8,3.7,11.7,11.7,8,3.7,11.7,56,26,83,2716,1256,585,6,20,1,0,4.3,Amber,Low breach,TRUE
University Hospital Limerick,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,519,48.5,22.8,71.3,71.3,48.5,22.8,71.3,340,160,505,16463,7739,743,60,26,13,3,13.7,Red,Moderate breach,TRUE
Wexford General Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,227,2.2,1.1,3.3,3.3,2.2,1.1,3.3,15,8,23,747,373,2328,0,8,0,0,1.5,Green,No breach,TRUE
Bantry General Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,46,4.2,1.7,5.9,5.9,4.2,1.7,5.9,29,12,40,1426,577,561,5,11,2,0,12.8,Red,Low breach,TRUE
Beaumont Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,718,9.7,3.8,13.5,13.5,9.7,3.8,13.5,68,27,96,3293,1290,1773,0,29,0,0,1.9,Green,No breach,TRUE
Cavan General Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,231,7.2,3.1,10.3,10.3,7.2,3.1,10.3,50,22,74,2444,1052,5272,4,4,2,0,4.5,Amber,Low breach,TRUE
Connolly Hospital Blanchardstown,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,303,4.4,2.1,6.5,6.5,4.4,2.1,6.5,31,15,47,1494,713,1830,0,5,0,0,2.1,Green,No breach,TRUE
Cork University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,664,26.1,11,37.1,37.1,26.1,11,37.1,183,77,265,8860,3734,708,19,37,2,1,5.6,Amber,Low breach,TRUE
Ennis Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,50,3.7,2,5.7,5.7,3.7,2,5.7,26,14,38,1256,679,6377,4,6,2,0,11.4,Red,Low breach,TRUE
Galway University Hospitals,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,663,23.1,10.5,33.6,33.6,23.1,10.5,33.6,162,74,242,7841,3564,2732,22,39,2,1,5.1,Amber,Low breach,TRUE
Letterkenny University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,350,4.4,2,6.4,6.4,4.4,2,6.4,31,14,47,1494,679,768,1,43,0,0,1.8,Green,No breach,TRUE
Mater Misericordiae University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,678,18.5,9.9,28.4,28.4,18.5,9.9,28.4,130,69,203,6280,3361,2791,17,23,3,1,4.2,Amber,Low breach,TRUE
Mayo University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,255,17.1,7.5,24.6,24.6,17.1,7.5,24.6,120,52,170,5805,2546,5294,12,9,4,1,9.6,Red,Low breach,TRUE
Mercy University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,198,2.7,1,3.7,3.7,2.7,1,3.7,19,7,25,917,339,2122,0,22,0,0,1.9,Green,No breach,TRUE
Midland Regional Hospital Mullingar,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,8.7,3,11.7,11.7,8.7,3,11.7,61,21,82,2953,1018,1621,4,2,1,0,6.4,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,133,7.7,2.9,10.6,10.6,7.7,2.9,10.6,54,20,75,2614,984,2381,17,4,2,0,8,Red,Low breach,TRUE
Naas General Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,178,15,5.4,20.4,20.4,15,5.4,20.4,105,38,147,5092,1833,1689,19,14,4,1,11.5,Red,Low breach,TRUE
Our Lady of Lourdes Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,426,3.2,1.6,4.8,4.8,3.2,1.6,4.8,22,11,35,1086,543,1082,0,14,1,0,1.1,Green,Low breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,1.7,0.6,2.3,2.3,1.7,0.6,2.3,12,4,16,577,204,551,0,1,1,0,1.2,Green,Low breach,TRUE
Portiuncula University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,163,5.4,2.6,8,8,5.4,2.6,8,38,18,54,1833,883,2199,5,12,1,0,4.9,Amber,Low breach,TRUE
Sligo University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,281,11.1,4.7,15.8,15.8,11.1,4.7,15.8,78,33,115,3768,1595,4126,5,37,2,0,5.6,Amber,Low breach,TRUE
St Jamess Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,680,11.5,4.7,16.2,16.2,11.5,4.7,16.2,80,33,115,3904,1595,6323,0,1,0,0,2.4,Green,No breach,TRUE
St Lukes General Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,188,9.8,3.6,13.4,13.4,9.8,3.6,13.4,69,25,92,3327,1222,5480,5,1,2,1,7.1,Amber,Low breach,TRUE
St. Vincent's University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,523,44.4,16.7,61.1,61.1,44.4,16.7,61.1,311,117,424,15072,5669,4573,49,37,13,4,11.7,Red,Moderate breach,TRUE
Tallaght University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,397,3.4,1.8,5.2,5.2,3.4,1.8,5.2,24,13,37,1154,611,100,0,11,0,0,1.3,Green,No breach,TRUE
Temple Street Childrens University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,100,0.7,0.4,1.1,1.1,0.7,0.4,1.1,5,3,8,238,136,453,1,0,1,0,1.1,Green,Low breach,TRUE
Tipperary University Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,205,8.7,3,11.7,11.7,8.7,3,11.7,61,21,84,2953,1018,10609,7,14,2,0,5.7,Amber,Low breach,TRUE
University Hospital Kerry,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,272,8.2,3.6,11.8,11.8,8.2,3.6,11.8,57,25,86,2783,1222,597,6,20,1,0,4.3,Amber,Low breach,TRUE
University Hospital Limerick,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,519,49.7,25.7,75.4,75.4,49.7,25.7,75.4,348,180,554,16871,8724,742,56,28,19,5,14.5,Red,High breach,TRUE
Wexford General Hospital,synthetic,1/2/2022,2022,1,Sunday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,227,2.6,1.1,3.7,3.7,2.6,1.1,3.7,18,8,25,883,373,2288,0,9,1,0,1.6,Green,Low breach,TRUE
Bantry General Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,46,8.1,3.8,11.9,11.9,8.1,3.8,11.9,57,27,80,2750,1290,554,3,11,3,1,25.9,Red,Low breach,TRUE
Beaumont Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,718,19.8,9.1,28.9,28.9,19.8,9.1,28.9,139,64,207,6721,3089,1872,18,29,4,1,4,Amber,Low breach,TRUE
Cavan General Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,231,15,5.8,20.8,20.8,15,5.8,20.8,105,41,140,5092,1969,5171,27,4,4,1,9,Red,Low breach,TRUE
Connolly Hospital Blanchardstown,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,303,7.9,2.9,10.8,10.8,7.9,2.9,10.8,55,20,76,2682,984,1817,0,4,0,0,3.6,Green,No breach,TRUE
Cork University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,664,60.9,24.1,85,85,60.9,24.1,85,426,169,589,20673,8181,681,65,41,26,7,12.8,Red,High breach,TRUE
Ennis Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,50,9.2,3.6,12.8,12.8,9.2,3.6,12.8,64,25,90,3123,1222,6141,3,6,4,1,25.6,Red,Low breach,TRUE
Galway University Hospitals,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,663,50.1,23.9,74,74,50.1,23.9,74,351,167,541,17006,8113,2790,47,42,25,7,11.2,Red,High breach,TRUE
Letterkenny University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,350,8.8,4.5,13.3,13.3,8.8,4.5,13.3,62,32,98,2987,1528,781,1,43,1,0,3.8,Green,Low breach,TRUE
Mater Misericordiae University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,678,35.5,14.4,49.9,49.9,35.5,14.4,49.9,248,101,341,12050,4888,2644,10,20,5,1,7.4,Amber,Low breach,TRUE
Mayo University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,255,44.4,18.7,63.1,63.1,44.4,18.7,63.1,311,131,441,15072,6348,5125,15,12,14,4,24.7,Red,Moderate breach,TRUE
Mercy University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,198,5.6,2.5,8.1,8.1,5.6,2.5,8.1,39,18,58,1901,849,2132,9,23,1,0,4.1,Amber,Low breach,TRUE
Midland Regional Hospital Mullingar,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,184,16.7,7.8,24.5,24.5,16.7,7.8,24.5,117,55,180,5669,2648,1710,20,2,7,2,13.3,Red,Moderate breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,133,16.2,7.2,23.4,23.4,16.2,7.2,23.4,113,50,169,5499,2444,2328,17,4,8,2,17.6,Red,Moderate breach,TRUE
Naas General Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,178,28.3,11.5,39.8,39.8,28.3,11.5,39.8,198,80,284,9606,3904,1679,19,13,9,3,22.4,Red,Moderate breach,TRUE
Our Lady of Lourdes Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,426,6.5,3.1,9.6,9.6,6.5,3.1,9.6,46,22,67,2206,1052,1085,0,13,0,0,2.3,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,184,3.3,1.4,4.7,4.7,3.3,1.4,4.7,23,10,33,1120,475,536,0,3,1,0,2.6,Green,Low breach,TRUE
Portiuncula University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,163,11.8,5.1,16.9,16.9,11.8,5.1,16.9,83,36,121,4006,1731,2284,10,12,3,1,10.4,Red,Low breach,TRUE
Sligo University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,281,20.4,8.6,29,29,20.4,8.6,29,143,60,203,6925,2919,4087,17,33,6,2,10.3,Red,Moderate breach,TRUE
St Jamess Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,680,24.2,12.2,36.4,36.4,24.2,12.2,36.4,169,85,261,8215,4141,6277,25,4,3,1,5.4,Amber,Low breach,TRUE
St Lukes General Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,188,22.2,8,30.2,30.2,22.2,8,30.2,155,56,214,7536,2716,5491,12,5,8,2,16.1,Red,Moderate breach,TRUE
St. Vincent's University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,523,82.1,31.7,113.8,113.8,82.1,31.7,113.8,575,222,796,27869,10761,4559,31,33,25,7,21.8,Red,High breach,TRUE
Tallaght University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,397,9.5,3.8,13.3,13.3,9.5,3.8,13.3,66,27,96,3225,1290,97,0,14,1,0,3.4,Green,Low breach,TRUE
Temple Street Childrens University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,100,1.8,0.9,2.7,2.7,1.8,0.9,2.7,13,6,18,611,306,462,0,2,0,0,2.7,Green,No breach,TRUE
Tipperary University Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,205,15.1,6.8,21.9,21.9,15.1,6.8,21.9,106,48,151,5126,2308,10929,20,12,6,1,10.7,Red,Moderate breach,TRUE
University Hospital Kerry,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,272,18.6,7.2,25.8,25.8,18.6,7.2,25.8,130,50,189,6314,2444,577,16,21,9,2,9.5,Red,Moderate breach,TRUE
University Hospital Limerick,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,519,116.7,42.5,159.2,159.2,116.7,42.5,159.2,817,298,1107,39614,14427,719,66,28,46,12,30.7,Red,High breach,TRUE
Wexford General Hospital,synthetic,1/3/2022,2022,1,Monday,Winter,TRUE,New Year's Day,FALSE,TRUE,TRUE,227,5.9,2.1,8,8,5.9,2.1,8,41,15,58,2003,713,2398,1,9,0,0,3.5,Green,No breach,TRUE
Bantry General Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,46,4.8,2.2,7,7,4.8,2.2,7,34,15,49,1629,747,540,5,11,2,0,15.2,Red,Low breach,TRUE
Beaumont Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,718,12.4,5.1,17.5,17.5,12.4,5.1,17.5,87,36,128,4209,1731,1814,0,30,1,0,2.4,Green,Low breach,TRUE
Cavan General Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,231,9.1,3.1,12.2,12.2,9.1,3.1,12.2,64,22,87,3089,1052,5281,9,4,2,1,5.3,Amber,Low breach,TRUE
Connolly Hospital Blanchardstown,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,303,5,2.3,7.3,7.3,5,2.3,7.3,35,16,51,1697,781,1888,0,5,0,0,2.4,Green,No breach,TRUE
Cork University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,664,39,13.7,52.7,52.7,39,13.7,52.7,273,96,370,13239,4650,686,21,43,6,2,7.9,Amber,Moderate breach,TRUE
Ennis Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,50,4.9,2.2,7.1,7.1,4.9,2.2,7.1,34,15,47,1663,747,6313,2,6,2,1,14.2,Red,Low breach,TRUE
Galway University Hospitals,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,663,30.5,12.6,43.1,43.1,30.5,12.6,43.1,214,88,302,10353,4277,2659,15,41,6,1,6.5,Amber,Moderate breach,TRUE
Letterkenny University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,350,6.9,2.7,9.6,9.6,6.9,2.7,9.6,48,19,68,2342,917,782,1,53,0,0,2.7,Green,No breach,TRUE
Mater Misericordiae University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,678,21.1,9.3,30.4,30.4,21.1,9.3,30.4,148,65,223,7162,3157,2769,15,20,4,1,4.5,Amber,Low breach,TRUE
Mayo University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,255,18.4,7.8,26.2,26.2,18.4,7.8,26.2,129,55,186,6246,2648,5229,18,8,4,1,10.3,Red,Low breach,TRUE
Mercy University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,198,3.3,1.1,4.4,4.4,3.3,1.1,4.4,23,8,29,1120,373,2054,0,21,0,0,2.2,Green,No breach,TRUE
Midland Regional Hospital Mullingar,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,184,8.9,4.3,13.2,13.2,8.9,4.3,13.2,62,30,89,3021,1460,1703,4,2,2,0,7.2,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,133,6.7,3.3,10,10,6.7,3.3,10,47,23,70,2274,1120,2270,3,3,0,0,7.5,Amber,No breach,TRUE
Naas General Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,178,16,6.4,22.4,22.4,16,6.4,22.4,112,45,155,5431,2172,1708,13,12,5,1,12.6,Red,Low breach,TRUE
Our Lady of Lourdes Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,426,3.8,1.5,5.3,5.3,3.8,1.5,5.3,27,10,36,1290,509,1107,0,13,1,0,1.2,Green,Low breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,184,2.2,0.8,3,3,2.2,0.8,3,15,6,22,747,272,552,0,2,0,0,1.6,Green,No breach,TRUE
Portiuncula University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,163,7.6,3,10.6,10.6,7.6,3,10.6,53,21,71,2580,1018,2183,4,13,1,0,6.5,Amber,Low breach,TRUE
Sligo University Hospital,synthetic,1/4/2022,2022,1,Tuesday,Winter,FALSE,Not a Bank Holiday,FALSE,TRUE,TRUE,281,12.4,6.4,18.8,18.8,12.4,6.4,18.8,87,45,137,4209,2172,4247,11,36,1,0,6.7,Amber,Low breach,TRUE
